net_pnl,max_monthly_cap,avg_monthly_cap_req,final_price,min_price,max_price
-28283.76998008007,4245.117333865746,463.9144503586749,173453.27629458986,56037.94584913552,418628.3272142296
-12428.735745577862,4176.99466937071,205.5145014660616,179194.96345499784,67029.17163272934,412882.3697410751
-98.12676124372365,3290.0513768482633,93.05201293613867,68437.5133530738,67890.36105607731,1179681.64692302
-12945.072534576117,5257.638313047311,891.5299422754132,43644.91044454521,37230.43352565806,270823.6186562337
56136.686484029815,821.3739872386413,29.94529602845684,21291.352534736794,6887.602743830378,103562.59675284811
-1368.5398017882048,657.5466205143366,22.4350787178438,860360.8717125127,94837.06810176073,3117325.090231729
-36049.40462533397,2833.6116345754854,601.3618325242633,95369.95351869099,33850.34191413894,169246.4447935838
-3485.4628617982676,2783.0511306102017,57.138735439315866,1577241.3413886048,90221.05451270014,3308442.1447908245
-1692.1255639591764,5760.992844924251,605.8921468385882,45930.13241181497,22598.326570545083,139108.87481734366
20440.300640228434,4935.434660918429,265.81240667407707,35585.41219352483,31897.152863926058,596378.7074194689
-8001.717171570031,2429.456355337272,131.17569133721364,10879598.033817418,75697.61276998573,11085792.70596119
20535.258762691716,4106.192627442775,92.15922659772151,69995.36259248525,20327.033855183636,122951.9203625741
-3123.3074697267625,515.2058912335242,51.2017617987994,1401039.338629782,100000.0,3165956.242439519
-34351.42684156009,5486.694872516571,563.1381449436079,1281843.1923801224,65589.22715632067,2146849.3225887534
33656.466655550226,2700.760147731875,391.74369188196675,17258.132035857332,16791.704705419084,205268.5384331787
-16785.926241059125,3408.7800239793723,290.58819314927587,129006.32903425672,48862.78951940012,271841.21041617513
-1692.4042334452965,564.1294494285512,27.746752557178084,325731.21857751947,100000.0,655897.9648710084
2446.8097097196915,4774.825823148836,597.5078361844494,44172.41260410903,27016.085017589612,163886.39953197088
22722.179831836613,5713.2421777774725,460.6515625435296,27393.147818648897,22946.615870600795,411632.76321066037
-4696.986908494422,1018.0163703348453,76.9997853887452,641459.5469501993,82033.48001689694,930296.8128002394
-23641.774938877756,3323.4343394775133,387.5749937747155,362381.55702973995,52859.18892373573,501544.1048229736
-1367.4834913576428,364.5212808045135,22.417762153403967,1529935.055358111,97989.59111708625,5466701.445213547
-20102.959508966997,4698.699211199877,761.0530081371446,56367.88360941919,31468.13028040987,164608.53693538607
32921.232945296084,4397.640754321477,250.70379671314203,31354.85826474176,16344.98270001388,163489.45274752646
-28517.209106384824,3486.6710524067894,471.63809074895374,120385.55781811719,66486.5037259106,317282.49850067374
-3627.41487119775,896.9343459507263,59.46582278402337,282562.95019235514,100000.0,451358.83859067486
-3577.1738689382455,2361.1204776892228,58.642194572758115,2944232.6598735885,87907.02241346875,4525653.975310074
-25784.56106611145,2931.1641594544417,422.6977368511552,383872.4258719893,47167.45214590467,455725.4022067443
-15510.639927297885,4612.046075573977,257.51165936535057,187058.05888906232,28405.26116899186,622543.129514777
-16934.46824026398,5315.569186851615,277.6142334469505,914823.4296648038,66887.061636275,2025158.0581276768
-12403.054935568916,4514.375000736902,203.32876944280062,725511.6196178946,23254.425044724067,1021719.5241411957
-17534.919874391562,3429.052414081576,287.45770285887795,2669251.620438295,42992.46341492605,4360247.829930467
19839.399960828137,4946.717347119789,448.47140746010973,26379.307644847555,25761.321947976878,203539.52069716065
-7867.735230287804,2152.48698656568,128.9792660702919,2007826.691219593,56176.48019932027,2578960.205745161
-25591.794734244242,5072.144567430776,982.3415092727099,57669.80449778279,35036.115790750424,241969.43628642446
-7541.030789429078,840.4201213374072,124.140408157129,163607.6225537758,80128.31143509856,300766.6174769609
31837.037014236434,5079.542280250833,363.8259237237478,28175.623054275875,11470.509189808556,124188.04374547482
-8887.173467017743,2155.483818161905,145.80072287443033,202628.01261313198,73432.40475732897,340981.34848872165
