date,expiry,instrument,strike,option_type,ttm_days,iv,price
2025-06-06,2025-06-27,BTC-27JUN25-220000-C,220000.000000,call,21.333333,101.840000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-20000-C,20000.000000,call,22.333333,0.000000,0.801500
2025-06-05,2025-06-27,BTC-27JUN25-40000-C,40000.000000,call,22.333333,154.680000,0.622500
2025-06-05,2025-06-27,BTC-27JUN25-40000-P,40000.000000,put,22.333333,132.560000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-45000-P,45000.000000,put,22.333333,118.300000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-50000-C,50000.000000,call,22.333333,0.000000,0.526000
2025-06-05,2025-06-27,BTC-27JUN25-50000-P,50000.000000,put,22.333333,105.220000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-55000-C,55000.000000,call,22.333333,0.000000,0.475500
2025-06-05,2025-06-27,BTC-27JUN25-55000-P,55000.000000,put,22.333333,92.700000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-60000-C,60000.000000,call,22.333333,103.180000,0.434000
2025-06-05,2025-06-27,BTC-27JUN25-60000-P,60000.000000,put,22.333333,91.640000,0.000400
2025-06-05,2025-06-27,BTC-27JUN25-65000-C,65000.000000,call,22.333333,0.000000,0.384000
2025-06-05,2025-06-27,BTC-27JUN25-65000-P,65000.000000,put,22.333333,74.860000,0.000300
2025-06-05,2025-06-27,BTC-27JUN25-70000-C,70000.000000,call,22.333333,64.430000,0.307500
2025-06-05,2025-06-27,BTC-27JUN25-70000-P,70000.000000,put,22.333333,66.870000,0.000500
2025-06-05,2025-06-27,BTC-27JUN25-75000-C,75000.000000,call,22.333333,53.440000,0.289500
2025-06-05,2025-06-27,BTC-27JUN25-75000-P,75000.000000,put,22.333333,63.210000,0.000800
2025-06-05,2025-06-27,BTC-27JUN25-78000-P,78000.000000,put,22.333333,58.900000,0.000900
2025-06-05,2025-06-27,BTC-27JUN25-80000-C,80000.000000,call,22.333333,51.160000,0.242500
2025-06-05,2025-06-27,BTC-27JUN25-80000-P,80000.000000,put,22.333333,50.980000,0.001200
2025-06-05,2025-06-27,BTC-27JUN25-82000-C,82000.000000,call,22.333333,46.530000,0.223500
2025-06-05,2025-06-27,BTC-27JUN25-82000-P,82000.000000,put,22.333333,50.300000,0.001600
2025-06-05,2025-06-27,BTC-27JUN25-84000-C,84000.000000,call,22.333333,46.930000,0.205000
2025-06-05,2025-06-27,BTC-27JUN25-84000-P,84000.000000,put,22.333333,47.540000,0.002000
2025-06-05,2025-06-27,BTC-27JUN25-85000-C,85000.000000,call,22.333333,45.710000,0.161500
2025-06-05,2025-06-27,BTC-27JUN25-85000-P,85000.000000,put,22.333333,46.410000,0.002500
2025-06-05,2025-06-27,BTC-27JUN25-88000-C,88000.000000,call,22.333333,43.640000,0.168000
2025-06-05,2025-06-27,BTC-27JUN25-88000-P,88000.000000,put,22.333333,45.980000,0.003200
2025-06-05,2025-06-27,BTC-27JUN25-90000-C,90000.000000,call,22.333333,42.930000,0.118500
2025-06-05,2025-06-27,BTC-27JUN25-90000-P,90000.000000,put,22.333333,44.770000,0.006500
2025-06-05,2025-06-27,BTC-27JUN25-92000-C,92000.000000,call,22.333333,43.670000,0.104000
2025-06-05,2025-06-27,BTC-27JUN25-92000-P,92000.000000,put,22.333333,42.740000,0.010000
2025-06-05,2025-06-27,BTC-27JUN25-95000-C,95000.000000,call,22.333333,40.660000,0.078500
