date,tenor_bucket,a,b,rho,m,sigma,error,quotes
2024-03-25 00:00:00+00:00,365d,0.27098168898880415,0.14744799121348337,-0.09869143892413654,-0.2031922795389029,0.33019445324615904,6.623156424359565e-05,56.0
2024-03-26 00:00:00+00:00,365d,0.27098168898880415,0.14744799121348337,-0.09869143892413654,-0.2031922795389029,0.33019445324615904,6.623156424359565e-05,56.0
2024-03-27 00:00:00+00:00,365d,0.27098168898880415,0.14744799121348337,-0.09869143892413654,-0.2031922795389029,0.33019445324615904,6.623156424359565e-05,56.0
2024-03-28 00:00:00+00:00,365d,0.27098168898880415,0.14744799121348337,-0.09869143892413654,-0.2031922795389029,0.33019445324615904,6.623156424359565e-05,56.0
2024-03-29 00:00:00+00:00,365d,0.27098168898880415,0.14744799121348337,-0.09869143892413654,-0.2031922795389029,0.33019445324615904,6.623156424359565e-05,56.0
2024-03-30 00:00:00+00:00,365d,0.21607740045968613,0.44895285045247196,0.7676706023646671,1.8351166180227385,1.5273525577190779,0.0005967384421966435,21.0
2024-03-31 00:00:00+00:00,365d,0.6259038866069081,0.08302949120842107,-0.08034904072934906,-0.4498157038422073,0.07080368429042995,0.0008623002837625975,17.0
2024-04-01 00:00:00+00:00,365d,0.6012126786972297,0.10324410169402395,-0.10070571268134493,-0.45376544723186113,0.06612490285024118,0.00039630393611286293,19.0
2024-04-02 00:00:00+00:00,365d,0.6012126786972297,0.10324410169402395,-0.10070571268134493,-0.45376544723186113,0.06612490285024118,0.00039630393611286293,19.0
2024-04-03 00:00:00+00:00,365d,0.6328122282023463,0.05790127248410644,0.5675242821388823,-0.10891338079047866,0.029014103083072118,0.00015230241892464063,16.0
2024-04-04 00:00:00+00:00,365d,0.5978269860061908,0.09459583851812979,-0.030740932292233875,-0.39846051426885953,0.1427342158763933,0.0001041114864041725,17.0
2024-04-05 00:00:00+00:00,365d,0.5978269860061908,0.09459583851812979,-0.030740932292233875,-0.39846051426885953,0.1427342158763933,0.0001041114864041725,17.0
2024-04-06 00:00:00+00:00,365d,0.5978269860061908,0.09459583851812979,-0.030740932292233875,-0.39846051426885953,0.1427342158763933,0.0001041114864041725,17.0
2024-04-07 00:00:00+00:00,365d,0.4037480030619784,0.35310895377325535,-0.6397670257553005,-0.9913171287140095,0.8266477523964817,0.00017213953797870935,16.0
2024-04-08 00:00:00+00:00,365d,0.5666031278784778,0.1839783514542653,-0.5008856966657124,-0.5344545542021617,0.3031042728572719,0.0012122197009131882,19.0
2024-04-09 00:00:00+00:00,365d,0.5825717430113106,0.09094803854436447,0.03592026984761457,-0.38791969332428083,0.21260697785601812,7.129510335098395e-05,15.0
2024-04-10 00:00:00+00:00,365d,0.5825717430113106,0.09094803854436447,0.03592026984761457,-0.38791969332428083,0.21260697785601812,7.129510335098395e-05,15.0
2024-04-11 00:00:00+00:00,365d,0.5825717430113106,0.09094803854436447,0.03592026984761457,-0.38791969332428083,0.21260697785601812,7.129510335098395e-05,15.0
2024-04-12 00:00:00+00:00,365d,0.5511786842003046,0.06503075973988286,0.24950900296303094,-0.3786329044414158,0.49523562127004034,0.0005096539187446692,27.0
2024-04-13 00:00:00+00:00,365d,0.5494773614080254,0.10135897989203428,0.11892389092253106,-0.48149592442601474,0.12047495994617638,0.001011056748101148,31.0
2024-04-14 00:00:00+00:00,365d,0.59198079149845,0.05688208388995765,0.9978951495750551,-0.05824899024254997,0.23540950708317102,0.0005396889131722754,21.0
2024-04-15 00:00:00+00:00,365d,0.5781928122035052,0.06763555204978974,0.44219717780332046,-0.08481099008201597,0.06421137073573394,0.000781301266876713,29.0
2024-04-16 00:00:00+00:00,365d,0.5781928122035052,0.06763555204978974,0.44219717780332046,-0.08481099008201597,0.06421137073573394,0.000781301266876713,29.0
2024-04-17 00:00:00+00:00,365d,0.5497622963978208,0.06706101058654881,0.34405911558909547,-0.21900159171178366,0.04491573197839834,0.00016600298332895323,23.0
2024-04-18 00:00:00+00:00,365d,0.05600379059647617,0.2614331940402437,-0.23540569391994218,-0.7154440574619929,2.0,9.683169258814887e-05,15.0
2024-04-19 00:00:00+00:00,365d,0.3415607613381886,0.15856381676224074,0.47219762130721915,0.4274720024687486,1.4371882768261897,0.00016363049616373984,25.0
2024-04-20 00:00:00+00:00,365d,0.3415607613381886,0.15856381676224074,0.47219762130721915,0.4274720024687486,1.4371882768261897,0.00016363049616373984,25.0
2024-04-21 00:00:00+00:00,365d,0.3415607613381886,0.15856381676224074,0.47219762130721915,0.4274720024687486,1.4371882768261897,0.00016363049616373984,25.0
2024-04-22 00:00:00+00:00,365d,0.4735015566330503,0.12418042759840234,-0.1831165444097707,-0.30729779362604737,0.4300888473764746,8.575522419102545e-05,14.0
2024-04-23 00:00:00+00:00,365d,0.0503571429489417,0.48903013570350096,-0.6551340429275762,-1.3766357800159217,1.2471156439669207,0.00011707769095666267,20.0
2024-04-24 00:00:00+00:00,365d,0.16996849005103953,0.1673719915302917,0.24862644343530632,0.21464645209872185,2.0,0.0006447967823191171,25.0
2024-04-25 00:00:00+00:00,365d,0.3547436000509466,0.13610904470939775,0.05815328296528867,-0.20499825619166534,0.7533284514075708,0.00017510460260473083,25.0
2024-04-26 00:00:00+00:00,365d,0.1340211200789619,0.5968344514959528,-0.6959333839424655,-0.7543798480797813,0.7019274752729862,4.636227568757251e-05,20.0
2024-04-27 00:00:00+00:00,365d,0.3327343892066776,0.19689500916211966,-0.15150295328406088,-0.2296258448341476,0.5208199645794068,0.00019287666253068713,15.0
2024-04-28 00:00:00+00:00,365d,0.3714976581741507,0.1218771553557063,0.29052874086363245,0.05927518285304517,0.5241416957478275,7.703177961848049e-05,15.0
2024-04-29 00:00:00+00:00,365d,-0.06541592868252111,0.2888187455376853,-0.11554725295506248,-0.391302955096885,1.7014413421516164,0.0001495341133261237,23.0
2024-04-30 00:00:00+00:00,365d,0.3797592564376495,0.1030597550831569,0.23348053114144351,0.10657994739600973,0.2680237099521909,0.0001259582614446703,23.0
2024-05-01 00:00:00+00:00,365d,-0.2359314377072527,0.3223410975376403,-0.11919543792816938,-0.4236140237659108,2.0,9.829811521109961e-05,29.0
2024-05-02 00:00:00+00:00,365d,0.23503287193926178,0.19495948952590642,0.018272944790804792,-0.0803769802856455,0.7956921063122077,0.0001987880809354632,24.0
2024-05-03 00:00:00+00:00,365d,0.26833460356466676,0.1708881917566294,-0.2614876949442355,-0.4554501890170596,0.667011084690615,5.6232962492363506e-05,24.0
2024-05-04 00:00:00+00:00,365d,0.29320176321328056,0.13716628428834302,0.12701181719535087,0.034927744435713205,0.6969660129281867,0.00011819771367491069,18.0
2024-05-05 00:00:00+00:00,365d,0.3072215630449926,0.12752974682049292,0.3455190715546081,0.14371697210952214,0.6666870233724805,0.00013303445682107465,17.0
2024-05-06 00:00:00+00:00,365d,0.3072215630449926,0.12752974682049292,0.3455190715546081,0.14371697210952214,0.6666870233724805,0.00013303445682107465,17.0
2024-05-07 00:00:00+00:00,365d,-0.2787820493731973,0.34266659922994525,-0.2713566895903883,-0.7258965917255659,1.9853758589264732,6.575835252243366e-05,14.0
2024-05-08 00:00:00+00:00,365d,-0.07106666342030211,0.2393294747341973,0.42041903919508145,0.6136791918079935,2.0,4.8720211267201265e-05,16.0
2024-05-09 00:00:00+00:00,365d,-0.026817497381560054,0.2346057023032085,0.2232905437910258,0.1535173341913926,1.6806124287693105,4.467157512284583e-05,21.0
2024-05-10 00:00:00+00:00,365d,-0.0921845324785284,0.6084551544809448,-0.6865909950125979,-1.1961788443180306,0.9936242458631843,2.9340174274379585e-05,21.0
2024-05-11 00:00:00+00:00,365d,-0.2493567933394382,0.5602197557898129,-0.6029221179816446,-1.2179684435330693,1.3349571778899467,4.1637934134182876e-05,15.0
2024-05-12 00:00:00+00:00,365d,-0.2493567933394382,0.5602197557898129,-0.6029221179816446,-1.2179684435330693,1.3349571778899467,4.1637934134182876e-05,15.0
2024-05-13 00:00:00+00:00,365d,0.08408841973513585,0.2337737438945255,-0.11330706836539362,-0.26671182344378463,1.171701363245724,1.184491686618729e-05,19.0
2024-05-14 00:00:00+00:00,365d,0.3388536288830892,0.10260547258348952,0.1582374656491773,0.038179356501692546,0.22981639645275714,1.7890407722207094e-05,15.0
2024-05-15 00:00:00+00:00,365d,0.05332603604939932,0.38116373279681215,-0.551165216507935,-0.9921221975957052,1.026126774710958,0.00018484263181424952,25.0
2024-05-16 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-17 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-18 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-19 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-20 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-21 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-22 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-23 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-24 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-25 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-26 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-27 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-28 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-29 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
2024-05-30 00:00:00+00:00,365d,0.3656004321483131,0.11208309273361071,-0.0671428693387957,-0.29801710251301733,0.0869530940414876,0.00010622040608696764,22.0
